波形数据,心率
1130,93.562
1621,93.562
1894,93.562
1988,93.562
2015,93.562
2148,93.562
2387,93.562
2738,93.562
2739,93.562
2738,93.562
2706,93.332
2740,93.332
2744,93.332
2698,93.332
2678,93.332
2742,93.332
2744,93.332
2738,93.332
2740,93.332
2673,93.332
2747,93.332
2739,93.332
2675,93.332
2724,93.332
1507,93.332
35,93.332
32,93.332
29,93.332
22,93.332
24,93.332
31,93.332
566,93.332
1251,93.332
1920,93.332
2460,93.332
2604,93.332
2490,93.332
2303,93.332
2193,93.332
2244,94.1176
2498,94.1176
2735,94.1176
2735,94.1176
2723,94.1176
2740,94.1176
2739,94.1176
2724,94.1176
2741,94.1176
2715,94.1176
2743,94.1176
2738,94.1176
2738,94.1176
2738,94.1176
2742,94.1176
2744,94.1176
2750,94.1176
2590,94.1176
1322,94.1176
26,94.1176
23,94.1176
18,94.1176
19,94.1176
31,94.1176
16,94.1176
37,94.1176
391,94.1176
991,94.1176
1550,94.1176
2035,94.1176
2203,94.1176
2146,94.1176
2056,94.1176
2071,94.1176
2294,94.1176
2663,94.1176
2749,93.7845
2720,93.7845
2735,93.7845
2738,93.7845
2740,93.7845
2740,93.7845
